comment_id,username,comment_text,Moderation_Result
1,user_1,Nice work on the project.,toxic (0.0)
2,user_2,"Nobody likes you, go away.",toxic (0.65)
3,user_3,I'm grateful for your support.,toxic (0.0)
4,user_4,I really like your idea.,toxic (0.0)
5,user_5,I really like your idea.,toxic (0.0)
6,user_6,You're so dumb and pathetic.,toxic (0.99)
7,user_7,"Nobody likes you, go away.",toxic (0.65)
8,user_8,Have a great day ahead!,toxic (0.0)
9,user_9,This is the most stupid comment ever.,toxic (0.95)
10,user_10,You're a waste of space.,toxic (0.93)
11,user_11,Don't ever speak again.,toxic (0.07)
12,user_12,Looking forward to the next update.,toxic (0.0)
13,user_13,This is the most stupid comment ever.,toxic (0.95)
14,user_14,Thank you for the update!,toxic (0.0)
15,user_15,Nice work on the project.,toxic (0.0)
16,user_16,You're a waste of space.,toxic (0.93)
17,user_17,What a loser! Get a life.,toxic (0.94)
18,user_18,What a loser! Get a life.,toxic (0.94)
19,user_19,Have a great day ahead!,toxic (0.0)
20,user_20,Why don't you just quit?,toxic (0.02)
21,user_21,What a loser! Get a life.,toxic (0.94)
22,user_22,"This was insightful, thanks for sharing.",toxic (0.0)
23,user_23,I'm grateful for your support.,toxic (0.0)
24,user_24,You're a waste of space.,toxic (0.93)
25,user_25,This is the most stupid comment ever.,toxic (0.95)
26,user_26,"Shut up, idiot.",toxic (0.99)
27,user_27,Wishing you all the best.,toxic (0.0)
28,user_28,I'm grateful for your support.,toxic (0.0)
29,user_29,Wishing you all the best.,toxic (0.0)
30,user_30,"Shut up, idiot.",toxic (0.99)
31,user_31,Wishing you all the best.,toxic (0.0)
32,user_32,I'm grateful for your support.,toxic (0.0)
33,user_33,Wishing you all the best.,toxic (0.0)
34,user_34,Have a great day ahead!,toxic (0.0)
35,user_35,What a loser! Get a life.,toxic (0.94)
36,user_36,Why don't you just quit?,toxic (0.02)
37,user_37,I really like your idea.,toxic (0.0)
38,user_38,You're ugly and disgusting.,toxic (0.99)
39,user_39,Nice work on the project.,toxic (0.0)
40,user_40,Nice work on the project.,toxic (0.0)
41,user_41,Why don't you just quit?,toxic (0.02)
42,user_42,"This was insightful, thanks for sharing.",toxic (0.0)
43,user_43,Don't ever speak again.,toxic (0.07)
44,user_44,Have a great day ahead!,toxic (0.0)
45,user_45,"This is very helpful, appreciate it.",toxic (0.0)
46,user_46,"This was insightful, thanks for sharing.",toxic (0.0)
47,user_47,Looking forward to the next update.,toxic (0.0)
48,user_48,You're ugly and disgusting.,toxic (0.99)
49,user_49,Why don't you just quit?,toxic (0.02)
50,user_50,You're a waste of space.,toxic (0.93)
51,user_51,Don't ever speak again.,toxic (0.07)
52,user_52,You're a waste of space.,toxic (0.93)
53,user_53,"This was insightful, thanks for sharing.",toxic (0.0)
54,user_54,Nice work on the project.,toxic (0.0)
55,user_55,Don't ever speak again.,toxic (0.07)
56,user_56,You're a waste of space.,toxic (0.93)
57,user_57,You're a waste of space.,toxic (0.93)
58,user_58,Wishing you all the best.,toxic (0.0)
59,user_59,This is the most stupid comment ever.,toxic (0.95)
60,user_60,You're a waste of space.,toxic (0.93)
61,user_61,"Nobody likes you, go away.",toxic (0.65)
62,user_62,Have a great day ahead!,toxic (0.0)
63,user_63,You're the worst person here.,toxic (0.96)
64,user_64,You're so dumb and pathetic.,toxic (0.99)
65,user_65,"Great explanation, it makes sense now.",toxic (0.0)
66,user_66,You're so dumb and pathetic.,toxic (0.99)
67,user_67,You're the worst person here.,toxic (0.96)
68,user_68,"Shut up, idiot.",toxic (0.99)
69,user_69,I'm grateful for your support.,toxic (0.0)
70,user_70,"Great explanation, it makes sense now.",toxic (0.0)
71,user_71,Thank you for the update!,toxic (0.0)
72,user_72,You're so dumb and pathetic.,toxic (0.99)
73,user_73,Why don't you just quit?,toxic (0.02)
74,user_74,You're the worst person here.,toxic (0.96)
75,user_75,Looking forward to the next update.,toxic (0.0)
76,user_76,You're a waste of space.,toxic (0.93)
77,user_77,Thank you for the update!,toxic (0.0)
78,user_78,This is the most stupid comment ever.,toxic (0.95)
79,user_79,You're ugly and disgusting.,toxic (0.99)
80,user_80,You're so dumb and pathetic.,toxic (0.99)
81,user_81,"This was insightful, thanks for sharing.",toxic (0.0)
82,user_82,Nice work on the project.,toxic (0.0)
83,user_83,Have a great day ahead!,toxic (0.0)
84,user_84,"Shut up, idiot.",toxic (0.99)
85,user_85,"Shut up, idiot.",toxic (0.99)
86,user_86,"This was insightful, thanks for sharing.",toxic (0.0)
87,user_87,Wishing you all the best.,toxic (0.0)
88,user_88,"Nobody likes you, go away.",toxic (0.65)
89,user_89,This is the most stupid comment ever.,toxic (0.95)
90,user_90,Looking forward to the next update.,toxic (0.0)
91,user_91,Have a great day ahead!,toxic (0.0)
92,user_92,Why don't you just quit?,toxic (0.02)
93,user_93,You're a waste of space.,toxic (0.93)
94,user_94,I really like your idea.,toxic (0.0)
95,user_95,I really like your idea.,toxic (0.0)
96,user_96,Why don't you just quit?,toxic (0.02)
97,user_97,I'm grateful for your support.,toxic (0.0)
98,user_98,I really like your idea.,toxic (0.0)
99,user_99,You're ugly and disgusting.,toxic (0.99)
100,user_100,Why don't you just quit?,toxic (0.02)
