comment_id,username,comment_text
1,user_1,Nice work on the project.
2,user_2,"Nobody likes you, go away."
3,user_3,I'm grateful for your support.
4,user_4,I really like your idea.
5,user_5,I really like your idea.
6,user_6,You're so dumb and pathetic.
7,user_7,"Nobody likes you, go away."
8,user_8,Have a great day ahead!
9,user_9,This is the most stupid comment ever.
10,user_10,You're a waste of space.
11,user_11,Don't ever speak again.
12,user_12,Looking forward to the next update.
13,user_13,This is the most stupid comment ever.
14,user_14,Thank you for the update!
15,user_15,Nice work on the project.
16,user_16,You're a waste of space.
17,user_17,What a loser! Get a life.
18,user_18,What a loser! Get a life.
19,user_19,Have a great day ahead!
20,user_20,Why don't you just quit?
21,user_21,What a loser! Get a life.
22,user_22,"This was insightful, thanks for sharing."
23,user_23,I'm grateful for your support.
24,user_24,You're a waste of space.
25,user_25,This is the most stupid comment ever.
26,user_26,"Shut up, idiot."
27,user_27,Wishing you all the best.
28,user_28,I'm grateful for your support.
29,user_29,Wishing you all the best.
30,user_30,"Shut up, idiot."
31,user_31,Wishing you all the best.
32,user_32,I'm grateful for your support.
33,user_33,Wishing you all the best.
34,user_34,Have a great day ahead!
35,user_35,What a loser! Get a life.
36,user_36,Why don't you just quit?
37,user_37,I really like your idea.
38,user_38,You're ugly and disgusting.
39,user_39,Nice work on the project.
40,user_40,Nice work on the project.
41,user_41,Why don't you just quit?
42,user_42,"This was insightful, thanks for sharing."
43,user_43,Don't ever speak again.
44,user_44,Have a great day ahead!
45,user_45,"This is very helpful, appreciate it."
46,user_46,"This was insightful, thanks for sharing."
47,user_47,Looking forward to the next update.
48,user_48,You're ugly and disgusting.
49,user_49,Why don't you just quit?
50,user_50,You're a waste of space.
51,user_51,Don't ever speak again.
52,user_52,You're a waste of space.
53,user_53,"This was insightful, thanks for sharing."
54,user_54,Nice work on the project.
55,user_55,Don't ever speak again.
56,user_56,You're a waste of space.
57,user_57,You're a waste of space.
58,user_58,Wishing you all the best.
59,user_59,This is the most stupid comment ever.
60,user_60,You're a waste of space.
61,user_61,"Nobody likes you, go away."
62,user_62,Have a great day ahead!
63,user_63,You're the worst person here.
64,user_64,You're so dumb and pathetic.
65,user_65,"Great explanation, it makes sense now."
66,user_66,You're so dumb and pathetic.
67,user_67,You're the worst person here.
68,user_68,"Shut up, idiot."
69,user_69,I'm grateful for your support.
70,user_70,"Great explanation, it makes sense now."
71,user_71,Thank you for the update!
72,user_72,You're so dumb and pathetic.
73,user_73,Why don't you just quit?
74,user_74,You're the worst person here.
75,user_75,Looking forward to the next update.
76,user_76,You're a waste of space.
77,user_77,Thank you for the update!
78,user_78,This is the most stupid comment ever.
79,user_79,You're ugly and disgusting.
80,user_80,You're so dumb and pathetic.
81,user_81,"This was insightful, thanks for sharing."
82,user_82,Nice work on the project.
83,user_83,Have a great day ahead!
84,user_84,"Shut up, idiot."
85,user_85,"Shut up, idiot."
86,user_86,"This was insightful, thanks for sharing."
87,user_87,Wishing you all the best.
88,user_88,"Nobody likes you, go away."
89,user_89,This is the most stupid comment ever.
90,user_90,Looking forward to the next update.
91,user_91,Have a great day ahead!
92,user_92,Why don't you just quit?
93,user_93,You're a waste of space.
94,user_94,I really like your idea.
95,user_95,I really like your idea.
96,user_96,Why don't you just quit?
97,user_97,I'm grateful for your support.
98,user_98,I really like your idea.
99,user_99,You're ugly and disgusting.
100,user_100,Why don't you just quit?
